Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN21345,2,0,0,2,Meal Plan 1,0,Room_Type 1,65,2018,10,21,Online,0,0,0,113.55,2,Not_Canceled
INN21368,2,0,1,4,Meal Plan 1,0,Room_Type 4,96,2018,10,23,Online,0,0,0,132.3,2,Not_Canceled
INN21386,3,0,0,2,Meal Plan 1,0,Room_Type 1,239,2018,10,23,Online,0,0,0,128.7,1,Canceled
INN21403,2,2,0,3,Meal Plan 1,0,Room_Type 6,45,2018,10,23,Online,0,0,0,204,2,Not_Canceled
INN21427,2,0,2,1,Meal Plan 1,0,Room_Type 4,104,2018,10,25,Offline,0,0,0,90.95,0,Not_Canceled
INN21435,2,0,1,2,Meal Plan 1,0,Room_Type 1,35,2018,10,26,Online,0,0,0,129,1,Not_Canceled
INN21439,2,0,1,4,Meal Plan 1,0,Room_Type 1,83,2018,10,27,Online,0,0,0,90.18,1,Not_Canceled
INN21445,2,0,1,3,Not Selected,0,Room_Type 1,240,2018,10,27,Online,0,0,0,80.75,0,Canceled
INN21446,2,0,1,3,Not Selected,0,Room_Type 1,219,2018,10,27,Online,0,0,0,92.65,0,Canceled
INN21450,2,0,1,2,Meal Plan 2,0,Room_Type 1,47,2018,10,28,Online,0,0,0,153,1,Canceled
INN21461,2,0,2,3,Meal Plan 1,0,Room_Type 1,186,2018,10,28,Online,0,0,0,79.66,1,Not_Canceled
INN21477,2,0,0,3,Meal Plan 1,0,Room_Type 5,34,2018,10,28,Online,0,0,0,153,0,Not_Canceled
INN21479,2,0,1,3,Meal Plan 2,0,Room_Type 1,24,2018,10,28,Offline,0,0,0,115,0,Not_Canceled
INN21510,1,2,1,2,Meal Plan 1,0,Room_Type 6,108,2018,10,30,Online,0,0,0,190.8,1,Not_Canceled
INN21529,2,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,10,31,Offline,0,0,0,72.25,0,Not_Canceled
INN21530,3,0,1,2,Meal Plan 1,0,Room_Type 4,229,2018,10,31,Online,0,0,0,128.7,0,Canceled
